trial,timestep,S1,S2,M1,M2,H1,H2,H3,H4,block_movement,task_type,block_size,first_sight
7,32,1,0,0,1,1,1,0,1,-1,catch,3,0
7,33,1,0,0,1,1,1,0,1,-1,catch,3,0
8,1,0,0,1,0,0,1,1,1,-1,catch,3,0
8,2,0,0,0,0,0,1,0,0,-1,catch,3,0
8,3,0,0,0,0,1,0,1,1,-1,catch,3,0
8,4,0,0,0,0,1,0,1,1,-1,catch,3,0
8,5,0,1,0,0,1,0,1,1,-1,catch,3,1
8,6,0,1,0,0,0,1,1,1,-1,catch,3,0
8,7,1,1,0,0,0,0,1,0,-1,catch,3,0
8,8,1,0,0,0,0,1,1,0,-1,catch,3,0
8,9,1,0,0,0,1,1,0,1,-1,catch,3,0
8,10,1,0,0,1,1,1,0,1,-1,catch,3,0
8,11,1,0,0,1,1,1,0,1,-1,catch,3,0
8,12,1,0,0,1,1,1,0,1,-1,catch,3,0
8,13,1,0,0,1,1,1,0,1,-1,catch,3,0
8,14,1,0,0,1,1,1,0,1,-1,catch,3,0
8,15,1,0,0,1,1,1,0,1,-1,catch,3,0
8,16,1,0,0,1,1,1,0,1,-1,catch,3,0
8,17,1,0,0,1,1,1,0,1,-1,catch,3,0
8,18,1,0,0,1,1,1,0,1,-1,catch,3,0
8,19,1,0,0,1,1,1,0,1,-1,catch,3,0
8,20,1,0,0,1,1,1,0,1,-1,catch,3,0
8,21,1,0,0,1,1,1,0,1,-1,catch,3,0
8,22,1,0,0,1,1,1,0,1,-1,catch,3,0
8,23,1,0,0,1,1,1,0,1,-1,catch,3,0
8,24,1,0,0,1,1,1,0,1,-1,catch,3,0
8,25,1,0,0,1,1,1,0,1,-1,catch,3,0
8,26,1,0,0,1,1,1,0,1,-1,catch,3,0
8,27,1,0,0,1,1,1,0,1,-1,catch,3,0
8,28,1,0,0,1,1,1,0,1,-1,catch,3,0
8,29,1,0,0,1,1,1,0,1,-1,catch,3,0
8,30,1,0,0,1,1,1,0,1,-1,catch,3,0
8,31,1,0,0,1,1,1,0,1,-1,catch,3,0
8,32,1,0,0,1,1,1,0,1,-1,catch,3,0
8,33,1,0,0,1,1,1,0,1,-1,catch,3,0
9,1,0,0,1,0,0,1,1,1,-1,catch,3,0
9,2,0,0,0,0,0,1,0,0,-1,catch,3,0
9,3,0,0,0,0,1,0,1,1,-1,catch,3,0
9,4,0,1,0,0,1,0,1,1,-1,catch,3,1
9,5,0,1,0,0,0,1,1,1,-1,catch,3,0
9,6,1,1,0,0,0,0,1,0,-1,catch,3,0
9,7,1,0,0,0,0,1,1,0,-1,catch,3,0
9,8,1,0,0,0,1,1,0,1,-1,catch,3,0
9,9,1,0,0,1,1,1,0,1,-1,catch,3,0
9,10,1,0,0,1,1,1,0,1,-1,catch,3,0
9,11,1,0,0,1,1,1,0,1,-1,catch,3,0
9,12,1,0,0,1,1,1,0,1,-1,catch,3,0
9,13,1,0,0,1,1,1,0,1,-1,catch,3,0
9,14,1,0,0,1,1,1,0,1,-1,catch,3,0
9,15,1,0,0,1,1,1,0,1,-1,catch,3,0
9,16,1,0,0,1,1,1,0,1,-1,catch,3,0
9,17,1,0,0,1,1,1,0,1,-1,catch,3,0
9,18,1,0,0,1,1,1,0,1,-1,catch,3,0
9,19,1,0,0,1,1,1,0,1,-1,catch,3,0
9,20,1,0,0,1,1,1,0,1,-1,catch,3,0
9,21,1,0,0,1,1,1,0,1,-1,catch,3,0
9,22,1,0,0,1,1,1,0,1,-1,catch,3,0
9,23,1,0,0,1,1,1,0,1,-1,catch,3,0
9,24,1,0,0,1,1,1,0,1,-1,catch,3,0
9,25,1,0,0,1,1,1,0,1,-1,catch,3,0
9,26,1,0,0,1,1,1,0,1,-1,catch,3,0
9,27,1,0,0,1,1,1,0,1,-1,catch,3,0
9,28,1,0,0,1,1,1,0,1,-1,catch,3,0
9,29,1,0,0,1,1,1,0,1,-1,catch,3,0
9,30,1,0,0,1,1,1,0,1,-1,catch,3,0
9,31,1,0,0,1,1,1,0,1,-1,catch,3,0
9,32,1,0,0,1,1,1,0,1,-1,catch,3,0
9,33,1,0,0,1,1,1,0,1,-1,catch,3,0
10,1,0,0,1,0,0,1,1,1,-1,catch,3,0
10,2,0,0,0,0,0,1,0,0,-1,catch,3,0
10,3,0,1,0,0,1,0,1,1,-1,catch,3,1
10,4,0,1,0,0,0,1,1,1,-1,catch,3,0
10,5,1,1,0,0,0,0,1,0,-1,catch,3,0
10,6,1,0,0,0,0,1,1,0,-1,catch,3,0
10,7,1,0,0,0,1,1,0,1,-1,catch,3,0
10,8,1,0,0,1,1,1,0,1,-1,catch,3,0
10,9,1,0,0,1,1,1,0,1,-1,catch,3,0
10,10,1,0,0,1,1,1,0,1,-1,catch,3,0
10,11,1,0,0,1,1,1,0,1,-1,catch,3,0
10,12,1,0,0,1,1,1,0,1,-1,catch,3,0
10,13,1,0,0,1,1,1,0,1,-1,catch,3,0
10,14,1,0,0,1,1,1,0,1,-1,catch,3,0
10,15,1,0,0,1,1,1,0,1,-1,catch,3,0
10,16,1,0,0,1,1,1,0,1,-1,catch,3,0
10,17,1,0,0,1,1,1,0,1,-1,catch,3,0
10,18,1,0,0,1,1,1,0,1,-1,catch,3,0
10,19,1,0,0,1,1,1,0,1,-1,catch,3,0
10,20,1,0,0,1,1,1,0,1,-1,catch,3,0
10,21,1,0,0,1,1,1,0,1,-1,catch,3,0
10,22,1,0,0,1,1,1,0,1,-1,catch,3,0
10,23,1,0,0,1,1,1,0,1,-1,catch,3,0
10,24,1,0,0,1,1,1,0,1,-1,catch,3,0
10,25,1,0,0,1,1,1,0,1,-1,catch,3,0
10,26,1,0,0,1,1,1,0,1,-1,catch,3,0
10,27,1,0,0,1,1,1,0,1,-1,catch,3,0
10,28,1,0,0,1,1,1,0,1,-1,catch,3,0
10,29,1,0,0,1,1,1,0,1,-1,catch,3,0
10,30,1,0,0,1,1,1,0,1,-1,catch,3,0
10,31,1,0,0,1,1,1,0,1,-1,catch,3,0
10,32,1,0,0,1,1,1,0,1,-1,catch,3,0
10,33,1,0,0,1,1,1,0,1,-1,catch,3,0
11,1,0,0,1,0,0,1,1,1,-1,catch,3,0
11,2,0,1,0,0,0,1,0,0,-1,catch,3,1
11,3,0,1,0,1,1,0,1,1,-1,catch,3,0
11,4,0,1,0,0,0,1,1,1,-1,catch,3,0
11,5,1,1,0,0,0,0,1,0,-1,catch,3,0
11,6,1,0,0,0,0,1,1,0,-1,catch,3,0
11,7,1,0,0,0,1,1,0,1,-1,catch,3,0
11,8,1,0,0,1,1,1,0,1,-1,catch,3,0
11,9,1,0,0,1,1,1,0,1,-1,catch,3,0
11,10,1,0,0,1,1,1,0,1,-1,catch,3,0
11,11,1,0,0,1,1,1,0,1,-1,catch,3,0
11,12,1,0,0,1,1,1,0,1,-1,catch,3,0
11,13,1,0,0,1,1,1,0,1,-1,catch,3,0
11,14,1,0,0,1,1,1,0,1,-1,catch,3,0
11,15,1,0,0,1,1,1,0,1,-1,catch,3,0
11,16,1,0,0,1,1,1,0,1,-1,catch,3,0
11,17,1,0,0,1,1,1,0,1,-1,catch,3,0
11,18,1,0,0,1,1,1,0,1,-1,catch,3,0
11,19,1,0,0,1,1,1,0,1,-1,catch,3,0
11,20,1,0,0,1,1,1,0,1,-1,catch,3,0
11,21,1,0,0,1,1,1,0,1,-1,catch,3,0
11,22,1,0,0,1,1,1,0,1,-1,catch,3,0
11,23,1,0,0,1,1,1,0,1,-1,catch,3,0
11,24,1,0,0,1,1,1,0,1,-1,catch,3,0
11,25,1,0,0,1,1,1,0,1,-1,catch,3,0
11,26,1,0,0,1,1,1,0,1,-1,catch,3,0
11,27,1,0,0,1,1,1,0,1,-1,catch,3,0
11,28,1,0,0,1,1,1,0,1,-1,catch,3,0
11,29,1,0,0,1,1,1,0,1,-1,catch,3,0
11,30,1,0,0,1,1,1,0,1,-1,catch,3,0
11,31,1,0,0,1,1,1,0,1,-1,catch,3,0
11,32,1,0,0,1,1,1,0,1,-1,catch,3,0
11,33,1,0,0,1,1,1,0,1,-1,catch,3,0
12,1,0,1,1,0,0,1,1,1,-1,catch,3,1
12,2,0,1,0,0,0,0,1,0,-1,catch,3,0
12,3,1,0,1,0,0,1,1,1,-1,catch,3,0
12,4,1,0,0,0,0,1,0,1,-1,catch,3,0
12,5,0,0,0,0,0,1,1,1,-1,catch,3,0
12,6,0,0,0,0,0,1,0,0,-1,catch,3,0
12,7,0,0,0,0,1,0,1,1,-1,catch,3,0
12,8,0,0,0,0,1,0,1,1,-1,catch,3,0
12,9,0,0,0,0,1,0,1,1,-1,catch,3,0
12,10,0,0,0,0,1,0,1,1,-1,catch,3,0
12,11,0,0,0,0,1,0,1,1,-1,catch,3,0
12,12,0,0,0,0,1,0,1,1,-1,catch,3,0
12,13,0,0,0,0,1,0,1,1,-1,catch,3,0
12,14,0,0,0,0,1,0,1,1,-1,catch,3,0
12,15,0,0,0,0,1,0,1,1,-1,catch,3,0
12,16,0,1,0,0,1,0,1,1,-1,catch,3,0
12,17,0,1,0,0,0,1,1,1,-1,catch,3,0
12,18,1,1,0,0,0,0,1,0,-1,catch,3,0
12,19,1,0,0,0,0,1,1,0,-1,catch,3,0
12,20,1,0,0,0,1,1,0,1,-1,catch,3,0
12,21,1,0,0,1,1,1,0,1,-1,catch,3,0
12,22,1,0,0,1,1,1,0,1,-1,catch,3,0
12,23,1,0,0,1,1,1,0,1,-1,catch,3,0
12,24,1,0,0,1,1,1,0,1,-1,catch,3,0
12,25,1,0,0,1,1,1,0,1,-1,catch,3,0
12,26,1,0,0,1,1,1,0,1,-1,catch,3,0
12,27,1,0,0,1,1,1,0,1,-1,catch,3,0
12,28,1,0,0,1,1,1,0,1,-1,catch,3,0
12,29,1,0,0,1,1,1,0,1,-1,catch,3,0
12,30,1,0,0,1,1,1,0,1,-1,catch,3,0
12,31,1,0,0,1,1,1,0,1,-1,catch,3,0
12,32,1,0,0,1,1,1,0,1,-1,catch,3,0
12,33,1,0,0,1,1,1,0,1,-1,catch,3,0
13,1,0,1,1,0,0,1,1,1,-1,catch,3,1
13,2,1,1,0,0,0,0,1,0,-1,catch,3,0
13,3,1,0,0,0,0,1,1,0,-1,catch,3,0
13,4,1,0,0,0,1,1,0,1,-1,catch,3,0
13,5,1,0,0,1,1,1,0,1,-1,catch,3,0
13,6,1,0,0,1,1,1,0,1,-1,catch,3,0
13,7,1,0,0,1,1,1,0,1,-1,catch,3,0
13,8,1,0,0,1,1,1,0,1,-1,catch,3,0
13,9,1,0,0,1,1,1,0,1,-1,catch,3,0
13,10,1,0,0,1,1,1,0,1,-1,catch,3,0
13,11,1,0,0,1,1,1,0,1,-1,catch,3,0
13,12,1,0,0,1,1,1,0,1,-1,catch,3,0
13,13,1,0,0,1,1,1,0,1,-1,catch,3,0
13,14,1,0,0,1,1,1,0,1,-1,catch,3,0
13,15,1,0,0,1,1,1,0,1,-1,catch,3,0
13,16,1,0,0,1,1,1,0,1,-1,catch,3,0
13,17,1,0,0,1,1,1,0,1,-1,catch,3,0
13,18,1,0,0,1,1,1,0,1,-1,catch,3,0
13,19,1,0,0,1,1,1,0,1,-1,catch,3,0
13,20,1,0,0,1,1,1,0,1,-1,catch,3,0
13,21,1,0,0,1,1,1,0,1,-1,catch,3,0
13,22,1,0,0,1,1,1,0,1,-1,catch,3,0
13,23,1,0,0,1,1,1,0,1,-1,catch,3,0
13,24,1,0,0,1,1,1,0,1,-1,catch,3,0
13,25,1,0,0,1,1,1,0,1,-1,catch,3,0
13,26,1,0,0,1,1,1,0,1,-1,catch,3,0
13,27,1,0,0,1,1,1,0,1,-1,catch,3,0
13,28,1,0,0,1,1,1,0,1,-1,catch,3,0
13,29,1,0,0,1,1,1,0,1,-1,catch,3,0
13,30,1,0,0,1,1,1,0,1,-1,catch,3,0
13,31,1,0,0,1,1,1,0,1,-1,catch,3,0
13,32,1,0,0,1,1,1,0,1,-1,catch,3,0
